City,Date,AQI,PM2.5,PM10,NO2,SO2,CO,O3
Bangalore,13-04-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,14-04-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,15-04-2018,97,53.35,104.76,80.51,110.58,1.02,92.15
Bangalore,16-04-2018,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,17-04-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,18-04-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,19-04-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,20-04-2018,100,55,108,83,114,1.05,95
Bangalore,21-04-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,22-04-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,23-04-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,24-04-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,25-04-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,26-04-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,27-04-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,28-04-2018,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,29-04-2018,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,30-04-2018,80,44,86.4,66.4,91.2,0.84,76
Bangalore,01-05-2018,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,02-05-2018,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,03-05-2018,85,46.75,91.8,70.55,96.9,0.89,80.75
Bangalore,04-05-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,05-05-2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,06-05-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,07-05-2018,108,59.4,116.64,89.64,123.12,1.13,102.6
Bangalore,08-05-2018,110,60.5,118.8,91.3,125.4,1.16,104.5
Bangalore,09-05-2018,67,36.85,72.36,55.61,76.38,0.7,63.65
Bangalore,10-05-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,11-05-2018,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,12-05-2018,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,13-05-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,14-05-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,15-05-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,16-05-2018,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,17-05-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,18-05-2018,85,46.75,91.8,70.55,96.9,0.89,80.75
Bangalore,19-05-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,20-05-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,21-05-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,22-05-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,23-05-2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,24-05-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,25-05-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,26-05-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,27-05-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,28-05-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,29-05-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,30-05-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,31-05-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,01-06-2018,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,02-06-2018,79,43.45,85.32,65.57,90.06,0.83,75.05
Bangalore,03-06-2018,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,04-06-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,05-06-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,06-06-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,07-06-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,08-06-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,09-06-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,10-06-2018,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,11-06-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,12-06-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,13-06-2018,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,14-06-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,15-06-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,16-06-2018,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,17-06-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,18-06-2018,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,19-06-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,20-06-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,21-06-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,22-06-2018,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,23-06-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,24-06-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,25-06-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,26-06-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,27-06-2018,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,28-06-2018,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,29-06-2018,42,23.1,45.36,34.86,47.88,0.44,39.9
Bangalore,30-06-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,01-07-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,02-07-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,03-07-2018,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,04-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,05-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,06-07-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,07-07-2018,44,24.2,47.52,36.52,50.16,0.46,41.8
Bangalore,08-07-2018,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,09-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,10-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,11-07-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,12-07-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,13-07-2018,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,14-07-2018,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,15-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,16-07-2018,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,17-07-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,18-07-2018,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,19-07-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,20-07-2018,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,21-07-2018,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,22-07-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,23-07-2018,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,24-07-2018,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,25-07-2018,47,25.85,50.76,39.01,53.58,0.49,44.65
Bangalore,26-07-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,27-07-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,28-07-2018,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,29-07-2018,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,30-07-2018,70,38.5,75.6,58.1,79.8,0.74,66.5
Bangalore,31-07-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,01-08-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,02-08-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,03-08-2018,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,04-08-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,05-08-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,06-08-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,07-08-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,08-08-2018,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,09-08-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,10-08-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,11-08-2018,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,12-08-2018,48,26.4,51.84,39.84,54.72,0.5,45.6
Bangalore,13-08-2018,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,14-08-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,15-08-2018,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,16-08-2018,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,17-08-2018,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,18-08-2018,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,19-08-2018,54,29.7,58.32,44.82,61.56,0.57,51.3
Bangalore,20-08-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,21-08-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,22-08-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,23-08-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,24-08-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,25-08-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,26-08-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,27-08-2018,52,28.6,56.16,43.16,59.28,0.55,49.4
Bangalore,28-08-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,29-08-2018,43,23.65,46.44,35.69,49.02,0.45,40.85
Bangalore,30-08-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,31-08-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,01-09-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,02-09-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,03-09-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,04-09-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,05-09-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,06-09-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,07-09-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,08-09-2018,45,24.75,48.6,37.35,51.3,0.47,42.75
Bangalore,09-09-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,10-09-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,11-09-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,12-09-2018,78,42.9,84.24,64.74,88.92,0.82,74.1
Bangalore,13-09-2018,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,14-09-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,15-09-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,16-09-2018,56,30.8,60.48,46.48,63.84,0.59,53.2
Bangalore,17-09-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,18-09-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,19-09-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,20-09-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,21-09-2018,74,40.7,79.92,61.42,84.36,0.78,70.3
Bangalore,22-09-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,23-09-2018,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,24-09-2018,80,44,86.4,66.4,91.2,0.84,76
Bangalore,25-09-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,26-09-2018,81,44.55,87.48,67.23,92.34,0.85,76.95
Bangalore,27-09-2018,65,35.75,70.2,53.95,74.1,0.68,61.75
Bangalore,28-09-2018,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,29-09-2018,53,29.15,57.24,43.99,60.42,0.56,50.35
Bangalore,30-09-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,01-10-2018,61,33.55,65.88,50.63,69.54,0.64,57.95
Bangalore,02-10-2018,46,25.3,49.68,38.18,52.44,0.48,43.7
Bangalore,03-10-2018,50,27.5,54,41.5,57,0.53,47.5
Bangalore,04-10-2018,49,26.95,52.92,40.67,55.86,0.51,46.55
Bangalore,05-10-2018,44,24.2,47.52,36.52,50.16,0.46,41.8
Bangalore,06-10-2018,41,22.55,44.28,34.03,46.74,0.43,38.95
Bangalore,07-10-2018,51,28.05,55.08,42.33,58.14,0.54,48.45
Bangalore,08-10-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,09-10-2018,72,39.6,77.76,59.76,82.08,0.76,68.4
Bangalore,10-10-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,11-10-2018,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,12-10-2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,13-10-2018,179,98.45,193.32,148.57,204.06,1.88,170.05
Bangalore,14-10-2018,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,15-10-2018,73,40.15,78.84,60.59,83.22,0.77,69.35
Bangalore,16-10-2018,89,48.95,96.12,73.87,101.46,0.93,84.55
Bangalore,17-10-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,18-10-2018,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,19-10-2018,55,30.25,59.4,45.65,62.7,0.58,52.25
Bangalore,20-10-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,21-10-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,22-10-2018,90,49.5,97.2,74.7,102.6,0.95,85.5
Bangalore,23-10-2018,120,66,129.6,99.6,136.8,1.26,114
Bangalore,24-10-2018,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,25-10-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,26-10-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,27-10-2018,96,52.8,103.68,79.68,109.44,1.01,91.2
Bangalore,28-10-2018,91,50.05,98.28,75.53,103.74,0.96,86.45
Bangalore,29-10-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,30-10-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,31-10-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,01-11-2018,69,37.95,74.52,57.27,78.66,0.72,65.55
Bangalore,02-11-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,03-11-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,04-11-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,05-11-2018,66,36.3,71.28,54.78,75.24,0.69,62.7
Bangalore,06-11-2018,87,47.85,93.96,72.21,99.18,0.91,82.65
Bangalore,07-11-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,08-11-2018,132,72.6,142.56,109.56,150.48,1.39,125.4
Bangalore,09-11-2018,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,10-11-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,11-11-2018,102,56.1,110.16,84.66,116.28,1.07,96.9
Bangalore,12-11-2018,105,57.75,113.4,87.15,119.7,1.1,99.75
Bangalore,13-11-2018,143,78.65,154.44,118.69,163.02,1.5,135.85
Bangalore,14-11-2018,142,78.1,153.36,117.86,161.88,1.49,134.9
Bangalore,15-11-2018,127,69.85,137.16,105.41,144.78,1.33,120.65
Bangalore,16-11-2018,62,34.1,66.96,51.46,70.68,0.65,58.9
Bangalore,17-11-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,18-11-2018,88,48.4,95.04,73.04,100.32,0.92,83.6
Bangalore,19-11-2018,58,31.9,62.64,48.14,66.12,0.61,55.1
Bangalore,20-11-2018,63,34.65,68.04,52.29,71.82,0.66,59.85
Bangalore,21-11-2018,77,42.35,83.16,63.91,87.78,0.81,73.15
Bangalore,22-11-2018,59,32.45,63.72,48.97,67.26,0.62,56.05
Bangalore,23-11-2018,64,35.2,69.12,53.12,72.96,0.67,60.8
Bangalore,24-11-2018,92,50.6,99.36,76.36,104.88,0.97,87.4
Bangalore,25-11-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,26-11-2018,132,72.6,142.56,109.56,150.48,1.39,125.4
Bangalore,27-11-2018,121,66.55,130.68,100.43,137.94,1.27,114.95
Bangalore,28-11-2018,111,61.05,119.88,92.13,126.54,1.17,105.45
Bangalore,29-11-2018,95,52.25,102.6,78.85,108.3,1,90.25
Bangalore,30-11-2018,94,51.7,101.52,78.02,107.16,0.99,89.3
Bangalore,01-12-2018,75,41.25,81,62.25,85.5,0.79,71.25
Bangalore,02-12-2018,84,46.2,90.72,69.72,95.76,0.88,79.8
Bangalore,03-12-2018,57,31.35,61.56,47.31,64.98,0.6,54.15
Bangalore,04-12-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,05-12-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,06-12-2018,60,33,64.8,49.8,68.4,0.63,57
Bangalore,07-12-2018,68,37.4,73.44,56.44,77.52,0.71,64.6
Bangalore,08-12-2018,100,55,108,83,114,1.05,95
Bangalore,09-12-2018,118,64.9,127.44,97.94,134.52,1.24,112.1
Bangalore,10-12-2018,162,89.1,174.96,134.46,184.68,1.7,153.9
Bangalore,11-12-2018,176,96.8,190.08,146.08,200.64,1.85,167.2
Bangalore,12-12-2018,179,98.45,193.32,148.57,204.06,1.88,170.05
Bangalore,13-12-2018,158,86.9,170.64,131.14,180.12,1.66,150.1
Bangalore,14-12-2018,93,51.15,100.44,77.19,106.02,0.98,88.35
Bangalore,15-12-2018,82,45.1,88.56,68.06,93.48,0.86,77.9
Bangalore,16-12-2018,115,63.25,124.2,95.45,131.1,1.21,109.25
Bangalore,17-12-2018,160,88,172.8,132.8,182.4,1.68,152
Bangalore,18-12-2018,206,113.3,222.48,170.98,234.84,2.16,195.7
Bangalore,19-12-2018,119,65.45,128.52,98.77,135.66,1.25,113.05
Bangalore,20-12-2018,142,78.1,153.36,117.86,161.88,1.49,134.9
Bangalore,21-12-2018,130,71.5,140.4,107.9,148.2,1.37,123.5
Bangalore,22-12-2018,103,56.65,111.24,85.49,117.42,1.08,97.85
Bangalore,23-12-2018,83,45.65,89.64,68.89,94.62,0.87,78.85
Bangalore,24-12-2018,71,39.05,76.68,58.93,80.94,0.75,67.45
Bangalore,25-12-2018,104,57.2,112.32,86.32,118.56,1.09,98.8
Bangalore,26-12-2018,113,62.15,122.04,93.79,128.82,1.19,107.35
